2018-09-25,7,0,6,1,0,0,0,0,0,0,0,0
2018-10-01,3,3,0,0,0,0,0,0,0,0,0,0
2018-06-21,3,1,0,0,0,0,0,0,0,0,0,0
2017-08-24,238,0,205,0,2,1,3,1,6,12,2,7
2017-10-26,6,1,0,6,2,2,3,2,10,22,27,6
2017-11-17,0,0,0,0,3,0,1,1,3,14,7,3
2017-12-02,0,0,0,0,0,1,0,0,1,11,6,2
2018-06-18,21,15,2,0,0,0,0,0,0,0,0,0
2017-12-10,0,0,0,0,1,0,0,1,8,19,7,6
2017-09-12,256,246,5,0,20,22,2,1,65,93,9,16
2017-07-02,0,0,0,0,0,1,0,0,0,0,0,0
2018-10-02,18,13,5,0,0,0,0,0,0,0,0,0
2018-02-11,34,0,36,0,0,0,0,0,0,0,0,0
2018-10-04,50,0,51,0,0,0,0,0,0,0,0,0
2017-10-21,0,0,0,0,0,0,0,1,4,11,23,16
2018-07-07,1,0,1,0,0,0,0,0,0,0,0,0
2017-10-23,0,0,0,0,4,1,4,3,11,20,17,7
2017-10-08,0,0,0,0,3,0,3,0,6,18,14,14
2017-08-06,0,0,0,0,0,1,0,0,0,19,0,1
2017-11-30,0,0,0,0,1,0,1,2,2,30,4,4
2017-12-04,0,0,0,0,0,0,0,0,0,32,9,3
2017-09-17,2,2,0,0,7,9,1,3,16,12,2,14
2018-01-21,45,0,0,45,0,0,0,0,0,0,0,0
2018-09-13,1487,1,67,1255,0,0,0,0,0,0,0,0
2017-09-20,7,3,0,4,9,0,0,6,56,36,8,26
2017-10-19,0,0,0,0,4,0,9,4,18,24,26,15
2017-09-22,173,45,2,1,10,1,0,12,21,27,3,26
2017-10-16,1,0,1,0,4,2,5,3,29,22,23,8
2017-11-16,0,0,0,0,0,1,0,0,3,20,7,9
2018-02-09,2,1,1,0,0,0,0,0,0,0,0,0
2017-12-17,13,0,7,0,2,0,1,1,6,16,7,7
2017-10-06,10,0,0,10,9,1,6,1,20,44,32,15
2017-10-25,1,0,0,2,3,2,2,3,1,16,18,5
2017-07-16,0,0,0,0,0,0,0,0,5,10,1,5
2017-06-13,0,0,0,0,0,3,0,0,0,0,0,0
2017-10-20,0,0,0,0,2,0,4,3,12,20,33,10
2018-08-27,30,7,26,1,0,0,0,0,0,0,0,0
2018-07-23,18,0,17,0,0,0,0,0,0,0,0,0
2017-06-03,0,0,0,0,0,0,2,0,0,0,0,0
2017-12-11,0,0,0,0,1,0,0,0,6,20,5,7
2017-12-21,0,0,0,0,0,0,0,0,5,19,7,16
2017-09-05,1273,1113,188,0,6,3,6,0,57,53,25,7
2017-10-05,71,0,0,72,8,1,5,1,15,18,13,11
2018-09-29,35,1,4,31,0,0,0,0,0,0,0,0
2017-06-05,0,0,0,0,0,1,0,0,0,0,0,0
2017-11-06,1,0,1,0,1,1,1,1,1,13,7,5
2018-09-16,129,0,0,123,0,0,0,0,0,0,0,0
2017-12-06,0,0,0,0,0,1,6,0,0,23,9,3
2017-07-19,0,0,0,0,0,2,0,1,4,18,1,2
2018-09-12,1277,0,11,1208,0,0,0,0,0,0,0,0
2017-08-20,0,0,0,0,0,0,0,0,1,14,2,7
2017-11-26,0,0,0,0,2,2,0,1,11,14,13,10
2017-10-24,0,0,0,0,7,1,2,3,2,26,14,6
2018-10-03,1,0,2,0,0,0,0,0,0,0,0,0
2017-11-04,0,0,0,0,2,0,1,0,1,16,14,5
2018-07-04,156,0,155,0,0,0,0,0,0,0,0,0
2017-08-29,387,0,375,0,11,0,21,1,78,20,142,15
2018-06-24,2,1,0,0,0,0,0,0,0,0,0,0
2018-08-09,51,0,0,43,0,0,0,0,0,0,0,0
2017-10-28,0,0,0,0,2,0,2,1,22,14,17,13
2018-08-14,150,0,1,126,0,0,0,0,0,0,0,0
2017-12-08,0,0,0,0,2,1,1,0,7,27,27,10
2018-07-05,47,0,44,0,0,0,0,0,0,0,0,0
2017-11-13,3,1,1,0,1,0,0,0,4,15,7,9
