search query,article date,article title,article summary
hurricane maria,2018-09-24T09:00:12+0000,It’s ‘One Tough Year’ After Hurricanes Tore Through British Virgin Islands,"While much attention has focused on Puerto Rico’s slow recovery from Hurricanes Maria and Irma, other islands have also struggled. The British Virgin Islands were among the worst hit."
hurricane maria,2018-09-13T13:00:45+0000,"As a New Hurricane Roars In, Trump Quarrels Over the Last One","The president dismissed the official death toll of 3,000 from Hurricane Maria, citing far lower numbers, and falsely accused Democrats of inflating the number."
hurricane maria,2018-09-22T18:30:09+0000,Back From the Storm,"In Puerto Rico, communities are still reeling from the destruction of Hurricane Maria."
hurricane maria,2018-09-11T23:46:58+0000,"Trump Calls Storm Response in Puerto Rico, Where 3,000 Died, ‘One of the Best’","“I think that Puerto Rico was an incredible, unsung success,” the president said while touting preparations for another hurricane."
hurricane maria,2018-09-13T01:42:38+0000,Hurricane Florence Is a Formidable Test for FEMA and Trump,"After last year’s harsh lessons, the administration girded for a test of its ability as Hurricane Florence approached the Carolina coast."
hurricane maria,2018-09-13T21:37:55+0000,On Politics With Lisa Lerer: Florence and Maria,The president says Democrats padded the death toll in Puerto Rico; tips from former leaders on how to prepare for a hurricane.
hurricane maria,2018-09-14T10:00:04+0000,Why Do People Stay When a Hurricane Comes?,"The messy truth lies in between two common, incorrect tropes."
hurricane maria,2018-09-14T18:38:57+0000,Trump’s Trail of Distortions and Lies,"Two readers are shocked by the president’s denial of the death toll in Puerto Rico, and a psychiatrist discusses pathological lying. "
hurricane maria,2018-09-11T22:12:23+0000,"Is It a Category 2, 3 or 5? How Florence and Other Hurricanes Are Classified","Meteorologists use wind speeds to determine a hurricane’s category, but that doesn’t tell the whole story."
hurricane maria,2018-09-13T23:17:36+0000,What Trump Doesn’t Get About Disasters,How we define a calamity determines how we plan for and respond to them. Or not.
hurricane maria,2018-09-13T23:34:09+0000,Trump Honors Only One Victim in Puerto Rico: Himself,"The president sees the accepted death toll of nearly 3,000 as evidence of a political conspiracy against him. "
hurricane maria,2018-09-01T18:30:03+0000,Don’t Give Trump a Pass on Puerto Rico,"The president thinks the government did a fantastic job last year handling Hurricane Maria. But the revision of the death toll, to nearly 3,000 from 64, says different."
hurricane maria,2018-09-12T23:24:43+0000,Hurricane Florence: Your Forecasting and Climate Questions Answered,"How should we make sense of the different forecasting models? Why is the storm so unpredictable? And, how bad will it be?"
hurricane maria,2018-09-26T09:00:05+0000,Utilities Helped Puerto Rico Fix Its Power Grid. Now They Face Hefty Tax Bills.,Electric companies across the mainland have received tax bills from Puerto Rican cities demanding millions of dollars in payments.
hurricane maria,2018-09-24T20:00:03+0000,Puerto Rico sigue en ruinas a un año del huracán María,"The New York Times visitó más de 150 hogares en Punta Santiago, donde documentó la permanencia de los daños un año después del huracán María."
hurricane maria,2018-09-10T16:07:24+0000,"As Hurricane Florence Threatens the Carolinas, 1 Million Ordered to Evacuate","The Southeast is bracing for a major Category 4 storm later this week, with a one-two punch of both wind and storm surge and major inland flooding."
hurricane maria,2018-09-14T12:20:16+0000,Trump Keeps Lying about the Deaths of Americans ,"Also: Ten years after the collapse of Lehman Brothers, we’re using the wrong measures of the economy."
hurricane maria,2018-09-13T09:01:13+0000,Trevor Noah Doesn’t Think Trump Is Prepared for Hurricane Florence,President Trump claims his response to Hurricane Maria in Puerto Rico was a big success. Mr. Noah disagrees.
hurricane maria,2018-09-12T11:00:26+0000,Catastrophic Rain Predicted as Hurricane Moves Toward Carolinas,Forecasters warned that Hurricane Florence might produce severe flooding in a larger swath of the coast and farther inland than previously predicted.
hurricane maria,2018-09-22T14:02:48+0000,"Hurricane Florence Has Gone, but Challenges for the Carolinas Have Just Begun","Already the emergency and recovery response is staggering in scope, and the threats have not abated."
hurricane maria,2018-09-13T16:37:41+0000,FEMA Chief’s Dual Challenge: Huge Hurricane and Inspector General Inquiry,Brock Long has been forced to undertake a measure of personal damage control over his use of agency vehicles just as he is leading a high-stakes emergency effort.
hurricane maria,2018-09-04T13:28:47+0000,Powerful Storm Makes Landfall on the Gulf Coast,"Tropical Storm Gordon made landfall near the Alabama-Mississippi border late Tuesday night, without gathering hurricane strength."
hurricane maria,2018-09-24T09:00:07+0000,Trump Stands by ‘Fantastic’ Kavanaugh as He Seeks G.O.P. Votes,"In a radio interview with Geraldo Rivera to be broadcast Monday, the president cast doubt on the sexual assault allegation against Judge Brett M. Kavanaugh."
hurricane maria,2018-09-14T23:28:55+0000,"Maria Torres, Ranked No. 184, Keeps a Share of the Evian Championship Lead","A rookie playing in only her second major tournament, Torres shared the lead with three players, while Sung Hyun Park, the world No. 1, missed the cut."
hurricane maria,2018-09-14T08:58:17+0000,Stephen Colbert Says Trump Is ‘Laser-Focused’ on the Storm (Last Year’s),"As Hurricane Florence approached, the president was busy disputing the death toll from Hurricane Maria, the “Late Show” host noticed."
hurricane maria,2018-09-13T22:01:51+0000,"Your Thursday Evening News Briefing: Hurricane Florence, Trump, Brett Kavanaugh",Here’s what you need to know at the end of the day.
hurricane maria,2018-09-17T13:37:28+0000,Lean Times for Reinsurers Could Trigger a Wave of M.&A.,"Insurers are bracing for $20 billion of damage from Hurricane Florence, on top of record losses in 2017. The best way to survive may be to buy a rival."
hurricane maria,2018-09-18T11:38:24+0000,Scenes From a Faded Motel Sheltering Florence Evacuees,"For people who fled from Hurricane Florence, this inn in Fayetteville has become a last-ditch shelter."
hurricane maria,2018-09-13T22:28:12+0000,Maria Torres and Carlota Ciganda Take the Early Lead at the Evian Championship,"Torres, a rookie who is the first player from Puerto Rico with a full L.P.G.A. card, had an eagle to help offset two bogeys in the opening round of the Evian, the tour’s fifth major tournament."
hurricane maria,2018-09-19T19:47:07+0000,"Millions of Carolina Homes Are at Risk of Flooding. Only 335,000 Have Flood Insurance. ",Here’s why the federal flood insurance program won’t pick up the slack.
hurricane maria,2018-09-13T09:37:08+0000,Wind and Rain Begin Battering North Carolina,The outer bands of Hurricane Florence are lashing at North Carolina. The storm could drop 40 inches of rain in some areas and drive a life-threatening storm surge.
hurricane maria,2018-09-15T13:29:30+0000,How to Help Those Affected by Florence,"Residents of the Carolinas face the arduous task of cleaning up, repairing and rebuilding. Here’s how to help."
hurricane maria,2018-09-25T12:24:49+0000,"Weekly News Quiz for Students: Kavanaugh Hearings, Trade War, Medical Advance",How well did you follow the news this past week? How many of these 10 questions can you get right?
hurricane maria,2018-09-21T22:33:32+0000,"As Florence Death Toll Climbs, Families Grapple with Loss of Infants",At least three of the 42 victims of the storm were under the age of two.
hurricane maria,2018-09-13T09:45:30+0000,"Your Thursday News Briefing: Immigration, Hurricane Florence, Vaping",Here’s what you need to know to start your day.
hurricane maria,2018-09-19T15:35:00+0000,"Touring Storm Damage in the Carolinas, Trump Follows His Own Script","Other presidents have treated natural disaster tours as dignified, even grave affairs. President Trump has deployed humor, enthusiasm and a talent for always finding a silver lining."
hurricane maria,2018-09-24T23:03:56+0000,"North Carolina, a ‘Slow Spender’ State, Struggles to Hand Out Storm Aid",North Carolina has had an especially hard time distributing money earmarked by Congress to help low- and moderate-income homeowners in the wake of disasters.
hurricane maria,2018-09-22T04:21:38+0000,On Politics: This Week’s Biggest Stories,"From the sexual assault allegations against Judge Brett M. Kavanaugh to developments in the Russia investigation, it’s been a busy week in American politics."
hurricane maria,2018-09-14T04:15:44+0000,On Politics: Paul Manafort Is Said to Be Near a Plea Deal,"President Trump’s former campaign chairman is close to a plea agreement with federal prosecutors, people familiar with the case said."
hurricane maria,2018-09-11T09:13:48+0000,More Evacuations as ‘Monster’ Storm Looms,"Officials are imploring people to leave low-lying coastal areas and islands in the storm’s path, and more than one million people are expected to flee."
hurricane maria,2018-09-12T20:08:15+0000,An Insurance Executive Explains Why We Need a Carbon Tax,Cutting greenhouse gas emissions is critical to reduce the risks of exposure to extreme weather like the hurricanes now barreling across the Atlantic.
hurricane maria,2018-09-24T10:00:01+0000,New York Today: Behind a Police Department Scandal,Monday: Inside an investigation and a monument to the Puerto Rican victims of Hurricane Maria.
hurricane maria,2018-09-23T10:10:32+0000,"Your Weekend Briefing: Brett Kavanaugh, Hurricane Florence, Russia",Here’s what you need to know about the week’s top stories.
hurricane maria,2018-09-14T09:40:26+0000,"Your Friday News Briefing: Hurricane Florence, New York, ‘Predator’",Here’s what you need to know to start your day.
hurricane maria,2018-09-11T22:59:11+0000,Trump Boasts of ‘Unsung Success’ in Puerto Rico After Deadly Hurricane,President Trump praised his administration’s widely criticized response to Hurricane Maria last year and said the government was ready for Hurricane Florence.
hurricane maria,2018-09-19T18:07:58+0000,"As Storms Loom, Some Immigrant Families Wonder: Is It Safe to Seek Help?","For undocumented families living in fear of deportation, Florence presented an extra challenge: Whether to seek government shelter, food or other aid."
hurricane maria,2018-09-15T19:26:19+0000,Amy Olson Takes Evian Lead in Bid for Her First Major Title,"Olson, who shot a six-under 65 for the second straight day, is trying to become the first United States player to win a women’s major this year."
hurricane maria,2018-09-13T22:53:52+0000,Florence’s Floodwaters Breach Coal Ash Pond and Imperil Other Toxic Sites,"The storm has begun washing coal ash, which contains toxic residue, out of a storage pond in North Carolina. The flooding is also raising fears about Superfund sites, chemical plants and hog farms with waste lagoons."
hurricane maria,2018-09-23T23:31:38+0000,Jeff Bezos and the Trap of the Charitable-Industrial Complex,He has promised money for schools. There are several grass-roots efforts to spread the Montessori method that could really use some.
hurricane maria,2018-09-23T21:44:03+0000,Presidential Lying Is Contagious,Donald Trump’s chronic dishonesty threatens to infect his entire administration.
hurricane maria,2018-09-14T05:00:04+0000,What’s on TV Friday: ‘The First’ and ‘The Land of Steady Habits’,Sean Penn has his first major TV role on Hulu. And a new Nicole Holofcener film hits Netflix.
hurricane maria,2018-09-12T09:47:12+0000,"Your Wednesday News Briefing: Florence, New Hampshire, Apple Event",Here’s what you need to know to start your day.
hurricane maria,2018-09-20T22:00:44+0000,"Your Thursday Evening News Briefing: Brett Kavanaugh, Maryland, Puerto Rico",Here’s what you need to know at the end of the day.
hurricane maria,2018-09-05T09:00:16+0000,A Rural Town Banded Together to Open a Hospital. Its Foe? A Larger Hospital.,"Even when a town wants to open a new hospital to make up for a lack of health care, the challenges can be enormous."
hurricane maria,2018-09-12T16:32:48+0000,"Protection of Voting Rights for Minorities Has Fallen Sharply, a New Report Finds","The head of the federal Civil Rights Commission, which was crucial in passing the 1965 Voting Rights Act, says voting rights protections are dangerously low."
hurricane maria,2018-09-10T17:54:50+0000,Gabrielle Hamilton and Ashley Merriman Exit the Spotted Pig,"The two chefs have abandoned their effort to help rehabilitate the restaurant, whose owner, Ken Friedman, has been accused of sexual harassment."
hurricane maria,2018-09-08T10:00:00+0000,"Champions in the Ring, and Out","Since boxing was legalized in Puerto Rico in 1927, the island has produced dozens of world champions and even more casual enthusiasts."
hurricane maria,2018-09-24T21:49:22+0000,"Your Monday Evening News Briefing: Kavanaugh, Rosenstein, Cosby",Here’s what you need to know at the end of the day.
hurricane maria,2018-09-21T09:31:17+0000,"Your Friday News Briefing: Christine Blasey Ford, Boston Red Sox, ‘Maniac’",Here’s what you need to know to start your day.
hurricane maria,2018-09-06T18:32:06+0000,"Stan Brock, 82, Intrepid Provider of Health Care in Remote Areas, Dies","A British-born former cowboy in South America and a “Wild Kingdom” TV star, he went on to deploy mobile clinics to treat the underserved and uninsured."
hurricane maria,2018-09-20T20:20:48+0000,"Your Friday News Briefing: Russia, India, Pandas",Here’s what you need to know to start your day.
hurricane maria,2018-09-21T04:23:50+0000,"Your Friday News Briefing: Russia, Brexit, Puerto Rico",Here’s what you need to know to start your day.
hurricane maria,2018-09-06T21:00:03+0000,16 Plays and Musicals to Go to in N.Y.C. This Weekend,"Previews, openings and some last-chance picks."
hurricane maria,2018-09-20T21:51:10+0000,On Politics With Lisa Lerer: Her Story? Or Theirs?,"How a #MeToo story gets transformed into a political football, previewing the Beto-Cruz debate, and the president’s approval rating."
hurricane maria,2018-09-25T12:26:13+0000,First Comes the ‘Shocking’ News. Then Comes the Navel-Gazing.,"A firehose of news (and reactions to it) keeps many of us in a state of alarm. Does that make us more sensitive to the world around us, or less?"
hurricane maria,2018-09-13T10:00:01+0000,New York Primary Voters: Here’s Your Election Cheat Sheet,Thursday: Who’s running and where to vote along with exotic animal busts.
hurricane maria,2018-09-22T16:00:00+0000,Me and My White Teachers,"In this week’s Race/Related newsletter: we discuss the importance of diversity among teachers, how to respond when you hear a racist remark, and more."
hurricane maria,2018-09-21T09:30:08+0000,On the Attack Against Climate Change,"Local groups, individuals and multinational organizations are finding effective ways, big and small, to mitigate the effects."
hurricane maria,2018-09-12T18:07:14+0000,"Classical Fall Preview: Debuts, Premieres, a New Philharmonic Maestro",Our classical music editor offers more than 100 highlights from the coming season.
hurricane maria,2018-10-11T13:36:22+0000,Tallying the Dead: Why a Storm Death in One State Might Not Count in Another,Inconsistencies in classifying deaths have made it difficult to compare the magnitude of different disasters.
hurricane maria,2018-10-23T16:07:59+0000,Puerto Ricans Fight for Insurance Money a Year After Maria,"Thousands of Puerto Ricans have been forced to drain their savings, close their businesses, or resign themselves to living with structural damage as they fight insurance companies over millions of dollars' worth of claims that have gone unanswered..."
hurricane maria,2018-10-08T07:00:12+0000,"As Storms Keep Coming, FEMA Spends Billions in ‘Cycle’ of Damage and Repair","FEMA has paid out billions for disaster recovery efforts. But many projects seem to be undertaken in defiance of climate change, leaving structures nearly as vulnerable as before."
hurricane maria,2018-10-22T15:02:00+0000,"The Latest: Hurricane Willa Now Category 4, Still Dangerous",The latest on Hurricane Willa and other storms (all times local):
hurricane maria,2018-10-22T04:05:22+0000,Category 4 Hurricane Willa Threatens Mexico's Pacific Coast,"A potential catastrophic Hurricane Willa swept toward Mexico's Pacific coast with winds of 145 mph (230 kph) Monday night, threatening a stretch of high-rise resort hotels, surfing beaches and fishing villages."
hurricane maria,2018-10-24T00:31:15+0000,Hurricane Willa Weakens in Mexico After Thousands Are Evacuated,"Once a Category 3 hurricane, the storm lost much of its power after making landfall in west-central Mexico, but flooding remained a serious threat."
hurricane maria,2018-10-22T17:11:05+0000,"Study: Puerto Ricans in Florida After Storm Below 50,000","The number of Puerto Ricans who moved to Florida after Hurricane Maria may have been overestimated in previous studies and media accounts, according to new research."
hurricane maria,2018-10-15T13:00:09+0000,The Senate’s White-State Bonus,It’s time to end the longest stretch in American history without a new state.
hurricane maria,2018-10-23T06:29:15+0000,"Hurricane Willa Batters Mexico, Sparking Floods, Outages","Hurricane Willa slammed into Mexico's Pacific coast late on Tuesday, raking it with winds of 120 mph (195 kph) that brought power outages, buffeted buildings, and dumped torrential rain on tourist resorts where thousands of people had moved to saf..."
hurricane maria,2018-10-09T09:00:06+0000,Powerful Hurricane Approaches Florida,"Hurricane Michael is gaining strength as it races toward the Florida Panhandle, threatening to bring ferocious rains, powerful winds and a destructive storm surge."
hurricane maria,2018-10-11T19:38:45+0000,Hospitals Pummeled by Hurricane Michael Scramble to Evacuate Patients,"One of Panama City’s largest hospitals said on Thursday that it was evacuating all of its approximately 130 inpatients, starting with the most critically ill."
hurricane maria,2018-10-13T23:46:55+0000,"With Sniffer Dogs and Hope, Rescue Teams Comb Through Hurricane Michael Damage","Under an unflinching Florida sun, the teams looked for the tiniest signs of life amid the wreckage and thick brush."
hurricane maria,2018-10-22T21:53:31+0000,Red Sox Manager's First-Year Success Goes Beyond the Diamond,"Alex Cora is the first Puerto Rican manager to reach a World Series but no matter what he achieves in the sport, he is always thinking about his homeland as he proved when he took a hands-on approach in the relief efforts after Hurricane Maria."
hurricane maria,2018-10-15T15:40:42+0000,Trump Inspects Damage in Florida From Another Deadly Storm,"Visiting communities in Florida and Georgia ravaged by Hurricane Michael, President Trump again declined to acknowledge the threat of climate change."
hurricane maria,2018-10-23T16:41:41+0000,Puerto Rico's Revised Fiscal Plan Approved Over Government Opposition,"Puerto Rico's federally appointed financial oversight board on Tuesday unanimously approved a revised fiscal reform plan meant to put the bankrupt island on a path toward solvency, but faced opposition from its elected government for being too str..."
hurricane maria,2018-10-26T17:35:09+0000,Activists Demand Closure of Puerto Rico Zoo After Deaths,Animal rights activists demanded Friday that Puerto Rico permanently close its only zoo and relocate all animals to sanctuaries following reports of deaths and improper care.
hurricane maria,2018-10-30T17:30:24+0000,"Tiny Love Stories: Dog Parades, Rowing-Machine Romance and a Hurricane","Modern Love in miniature, featuring five reader-submitted love stories of 100 words or fewer."
hurricane maria,2018-10-23T04:02:04+0000,"Category 3 Willa Hits Mexico's Coast, Starts to Weaken","Hurricane Willa swept onto Mexico's Pacific mainland with 120 mph (195 kph) winds Tuesday night, hitting an area of beach towns, fishing villages and farms after roaring over an offshore penal colony."
hurricane maria,2018-10-18T07:02:56+0000,"Cora Guides Red Sox, Inspires Team Back Home in Puerto Rico","Alex Cora spent this season rewarding the support of Jackie Bradley Jr., David Price and the rest of the Boston Red Sox organization with a record-breaking year and a run deep into the playoffs. The rookie manager's accomplishments go further than..."
hurricane maria,2018-10-23T16:26:09+0000,New Puerto Rico Fiscal Plan OK'd; Governor Says Too Austere,"A federal control board that oversees Puerto Rico's finances approved a five-year fiscal plan on Tuesday, but the government immediately said it would challenge the decision and the board itself."
hurricane maria,2018-10-22T17:11:06+0000,"Board Urges Puerto Rico to Implement Tax, Labor Reforms",The executive director of a federal control board overseeing Puerto Rico's finances said Monday that the island is likely to receive $20 billion more than initially estimated in federal relief as it rebuilds from Hurricane Maria.
hurricane maria,2018-10-23T06:30:06+0000,Drifting Dandelion Seeds Produce a Vortex Never Before Seen ,The air flowing through the bristly tufts of dandelion seeds creates a vortex scientists had never viewed in nature. 
hurricane maria,2018-10-26T04:50:03+0000,US Sends Aid to Pacific Islands Devastated by Huge Typhoon,"The federal government sent supplies to a U.S. territory in the Pacific that was ravaged by a super typhoon as residents of the Northern Mariana Islands dug through crumbled houses, smashed cars and fallen utility poles two days after the deadly s..."
hurricane maria,2018-10-02T21:49:23+0000,Rick Scott and Bill Nelson Mount Fierce Attacks in Florida Senate Debate,"In their first debate, aimed at crucial Latino voters, the two candidates sharply disagreed on their records and returned to prepared lines of attack."
hurricane maria,2018-10-23T21:47:08+0000,Business Highlights,
hurricane maria,2018-10-06T01:24:58+0000,Alex Cora Manages the Red Sox and Inspires Boston’s Puerto Ricans,"Cora, 42, is the team’s first Latino manager, and in his first year at the helm he led the Sox to a franchise record 108 regular-season wins."
hurricane maria,2018-10-30T18:58:34+0000,The Enduring Allure of Fairy Tales,"Fairy tales date back 6,000 years, yet they continue to pop up in our psyches and the news. The tropes are timeless."
hurricane maria,2018-10-27T04:59:07+0000,"Islands Regain Some Air, Sea Access After Monster Storm","Some airport and shipping access has returned to a U.S. Pacific territory ravaged by a super typhoon, but tens of thousands of residents still without power and sifting through rubble face a long road to recovery."
hurricane maria,2018-10-19T04:02:08+0000,Today in History,Today in History
hurricane maria,2018-10-02T09:00:11+0000,"For Democrats, Flipping a Miami Congressional Seat Is Harder Than They Thought","Donna Shalala, a former cabinet secretary, is in a tighter race than Democrats had hoped against the Republican contender, Maria Elvira Salazar."
hurricane maria,2018-10-25T06:41:16+0000,Wednesday's Sports in Brief,
hurricane maria,2018-10-12T23:15:41+0000,Can a Black Republican Who Voted for Trump Be New York’s Next Attorney General?,"Keith H. Wofford, who is vying to become one of the most powerful law enforcement officials in the country, is largely unknown."
hurricane maria,2018-10-25T05:50:03+0000,"Typhoon Crumbles Homes, Kills 1 in Northern Mariana Islands","The strongest storm to hit any part of the United States this year crumbled concrete houses, smashed cars and killed at least one person in the Northern Mariana Islands, shocking residents and officials used to riding out monster storms in the U.S..."
hurricane maria,2018-10-11T09:00:01+0000,An Activist Ambushed de Blasio at His Gym. She Raised a Good Point.,The mayor’s record on fixing homelessness is better than expected — and not nearly good enough.
hurricane maria,2018-10-29T03:29:02+0000,Cora-Nation! Rookie Manager Leads Red Sox to Championship,"Hard to believe now, all these wins later, but the Alex Cora Era in Boston began with a loss. A brutal one, in fact."
hurricane maria,2018-10-21T18:18:25+0000,"As Democrats Court Latinos, Indifference Is a Powerful Foe",Democratic Party strategists hope Latino voters angered by the administration’s rhetoric and policies will help deliver resounding victories.
hurricane maria,2018-10-20T11:00:03+0000,Back When Sears Made Black Customers a Priority,"In this week’s Race/Related, an interview about Jim Crow capitalism and Sears."
hurricane maria,2018-10-19T04:17:09+0000,"Red Sox Finish Off Astros in 5 Games, Head to World Series",What a birthday present for rookie manager Alex Cora. He's taking the Boston Red Sox back to the World Series.
hurricane maria,2018-10-08T09:00:07+0000,Pensions Get Bolder in Challenging Private Equity on Investments’ Human Cost,Public funds are flexing their financial might with private equity on issues from severance for Toys “R” Us workers to workplace harassment.
hurricane maria,2018-10-06T10:00:01+0000,A Place I Could Call My Own,"On growing up in the Bronx, and never truly leaving it."
hurricane maria,2018-10-22T09:00:01+0000,The Ghost Story Persists in American Literature. Why?,A slew of ghosts in recent books are a vessel for the country’s collective terror and guilt.
hurricane maria,2018-10-29T00:38:46+0000,"For Trump, Dutiful Words of Grief, Then Off to the Next Fight",President Trump’s discordant approach to national crises has thrust his leadership into the center of the national debate with about a week until the midterm elections.
hurricane maria,2018-10-09T10:22:55+0000,DealBook Briefing: Google’s Turn for a Data Scandal,The tech company decided not to go public about a vulnerability that exposed user data. That may have been a bad idea.
hurricane maria,2018-10-04T21:56:39+0000,"Ron DeSantis Reboots in Close Florida Governor’s Race, After Early Stumble","Mr. DeSantis had strong support from President Trump, but initial missteps left him trailing his Democratic opponent. Now he is on the attack, seeking momentum."
hurricane maria,2018-10-23T17:25:59+0000,"Midterm Election Poll: Florida Senate, Scott vs. Nelson","The nation’s largest battleground state has voted for the winner in every presidential election since 1996, and President Trump carried the state by just one percentage point in 2016. Polls indicate that the Florida Senate race could be close agai..."
hurricane irene,2011-08-26T23:56:25Z,Hurricane Irene – The Endgame,"Federal forecasters issue the final three-day projection for Hurricane Irene, which remains a potent threat to the Northeast."
hurricane irene,2011-08-28T00:00:00Z,After Hurricane Irene ,"The storm moved north, leaving a trail of damage, degree and flooding from North Carolina to Pennsylvania."
hurricane irene,2011-08-26T19:57:50+0000,Hurricane Irene Nears Shore,"Nearly 300,000 people who live in flood-prone areas of New York City were ordered to evacuate Friday as Hurricane Irene sets its sights on the nation’s largest city."
hurricane irene,2011-08-28T12:42:20Z,New Movies Struggle Amid Hurricane Irene,"With many theaters closed on the East Coast, studios have seen diminished box-office returns this weekend."
hurricane irene,2011-08-28T00:00:00Z,Readers’ Photos of Hurricane Irene,"Times readers submitted their photos of early evacuations, storm scenes and damage."
hurricane irene,2011-08-28T00:00:00Z,Storm Conditions Along Hurricane Irene’s Path ,Rainfall and wind readings from weather stations along the Atlantic seaboard.
hurricane irene,2011-08-27T16:38:30+0000,Damage From Hurricane Irene Scars East Coast,Hurricane Irene mowed across coastal North Carolina and Virginia on Saturday as it churned up the Atlantic Seaboard.
hurricane irene,2011-08-26T23:56:25Z,Hurricane Irene - The Endgame,"Federal forecasters issue the final three-day projection for Hurricane Irene, which remains a potent threat to the Northeast."
hurricane irene,2011-08-26T15:33:57Z,Will Cell Coverage Hold Up During Hurricane Irene?,"As Hurricane Irene makes it way up the East Coast, cellphone carriers are taking precautions to minimize impact."
hurricane irene,2011-08-27T08:05:27Z,Updates on Hurricane Irene,Following the track of Hurricane Irene as it moves up the East Coast.
hurricane irene,2011-08-28T13:36:18Z,Twitter Becomes a Playground During Hurricane Irene,"Many New Yorkers, faced with the boredom after 24 hours in hibernation, turned into comedians and cub reporters as they waited out Hurricane Irene."
hurricane irene,2011-08-27T00:00:00Z,Hurricane Irene: What You Need to Know,"6:26 p.m. | Updated  What follows are the most important things to know about the state of preparations for Hurricane Irene in New York City and its immediate surroundings.     1.Evacuations: A mandatory evacuation order, said to be the city's fir..."
hurricane irene,2011-08-30T13:26:57Z,How Airlines Fared in the Hurricane Irene Test,A survey looks at how quickly -- or not -- airlines responded to passengers needing to rebook flights canceled because of Hurricane Irene.
hurricane irene,2011-08-28T16:01:20+0000,After Hurricane Irene,"The storm moved north, leaving a trail of damage, degree and flooding from North Carolina to Pennsylvania."
hurricane irene,2011-08-25T16:03:32Z,A Calamitous Convergence of Tracks for Hurricane Irene,Computer simulations are converging on a crowded path for Hurricane Irene.
hurricane irene,2011-08-27T23:10:57+0000,Reporters’ Photobook of Hurricane Irene,New York Times reporters along the eastern seaboard track the storm’s progress in pictures.
hurricane irene,2011-08-26T10:56:35Z,Apps to Track Hurricane Irene,"Should you find yourself away from the safety of home during this hurricane weekend, there are plenty of mobile and tablet apps to help you track the storm while on the go."
hurricane irene,2011-08-29T00:00:00Z,After Hurricane Irene,"The storm moved north, leaving a trail of damage, debris and flooding from North Carolina to Pennsylvania."
hurricane irene,2011-08-27T14:30:12Z,Social Media State-by-State Guide for Hurricane Irene,"A list of resources on Twitter, Facebook, YouTube and other social media platforms focused on Hurricane Irene."
hurricane irene,2011-08-26T16:19:18Z,Hurricane Irene: What You Need to Know,Some basic information about emergency plans and how to prepare for Hurricane Irene.
hurricane irene,2011-08-27T00:00:00Z,"Flooding, Power Failures, Rainfall and Damage From Hurricane Irene","Map showing power failures, cumulative rainfall and damage from Hurricane Irene."
hurricane irene,2011-08-26T10:56:35Z,Apps to Track Hurricane Irene,"Should you find yourself away from the safety of home during this hurricane weekend, there are plenty of mobile and tablet apps to help you track the storm while on the go."
hurricane irene,2011-08-28T01:33:47+0000,Readers’ Photos of Hurricane Irene,A selection of photos by Times readers.
hurricane irene,2011-08-24T19:23:49Z,Officials Warn of Threat From Hurricane Irene,"Though the chances of the storm posing a severe threat to the city are relatively small, city officials are nonetheless beginning to make preparations."
hurricane irene,2011-08-26T11:41:29Z,Aug. 26 Updates on Hurricane Irene,"On Friday, The Lede is tracking preparations for the expected landfall of Hurricane Irene, a powerful storm heading for the Notheastern United States."
hurricane irene,2011-08-27T20:14:21Z,Hurricane Irene: What You Need to Know in New York,"Most of New York City's agencies shut down service in anticipation of Hurricane Irene. Now that the tropical storm has passed through the five boroughs, here's what you need to know."
hurricane irene,2011-08-25T16:03:32Z,A Calamitous Convergence of Tracks for Hurricane Irene,Computer simulations are converging on a crowded path for Hurricane Irene.
hurricane irene,2011-08-28T00:00:00Z,A Map of Readers' Photos of Hurricane Irene,"Times readers submitted their photos of early evacuations, storm scenes and damage."
hurricane irene,2011-08-25T12:48:05+0000,East Coast Battens Down for Arrival of Hurricane Irene,The massive storm inched north on a path that could have it making landfall on the North Carolina coast Saturday and in the Northeast on Sunday.
hurricane irene,2011-08-28T23:47:35Z,After Hurricane Irene: What You Need to Know in New York,Information for New Yorkers after the tropical storm has passed.
hurricane irene,2011-08-26T11:41:29Z,Aug. 26 Updates on Hurricane Irene,"On Friday, The Lede is tracking preparations for the expected landfall of Hurricane Irene, a powerful storm heading for the Notheastern United States."
hurricane irene,2011-08-28T12:42:20Z,New Movies Struggle Amid Hurricane Irene,"With many theaters closed on the East Coast, studios have seen diminished box-office returns this weekend."
hurricane irene,2011-08-24T00:00:00Z,Hurricane Irene Strengthens as It Moves Toward U.S.,"The Bahamas will bear the brunt of the storm over the next several days before it is expected to veer toward the Carolinas, forecasters said."
hurricane irene,2011-08-25T10:50:54Z,New York Region Readies for Hurricane Irene,"Mr. Bloomberg said the city was prepared to order the evacuation of low-lying areas if warranted and in New Jersey, Mr. Christie declared a state of emergency."
hurricane irene,2011-08-25T10:15:05Z,Millions at Risk After Shift in Track for Hurricane Irene,"Irene's track shifts a bit, solidifying the threat to millions for whom a hurricane strike is, at best, a dim memory."
hurricane irene,2011-08-26T10:19:28+0000,Hurricane Irene Puts East Coast in Line for Fury,"Overnight, the hurricane weakened to a Category One storm, with maximum sustained winds of 90 miles m.p.h., but it remained a dangerous storm."
