,irma_range,harvey_range,irene_range,maria_range,mentions_range,total_amount
371,low,low,low,low,low,0.0
372,low,low,low,low,low,0.0
373,low,low,low,low,low,0.0
374,low,low,low,low,low,0.0
375,low,low,low,low,low,0.0
376,low,low,low,low,low,0.0
377,low,low,low,low,low,0.0
378,low,low,low,low,low,0.0
379,low,low,low,low,low,0.0
380,low,low,low,low,low,805927.28
381,low,low,low,low,low,0.0
382,low,medium,low,low,low,0.0
383,low,high,low,low,high,4531275.66
384,low,low,low,low,low,7240469.3599999985
385,low,low,low,low,low,9563578.35
386,low,low,low,low,low,65534516.61
387,low,low,low,low,low,43517627.23999997
388,low,low,low,low,low,21075575.94
389,low,low,low,low,low,1644910.47
390,low,low,low,low,low,31322271.64
391,medium,low,low,low,high,210095796.55
392,high,low,low,low,high,137784703.89
393,high,low,low,low,high,50670452.02
394,medium,low,low,low,low,49196690.960000016
395,high,low,low,low,high,12882005.57
396,high,low,low,low,high,16108024.46
397,high,low,low,low,high,142964796.21
398,low,high,low,low,high,36277285.71
399,low,low,low,low,low,53239511.940000005
400,low,low,low,low,low,38046383.07000001
401,low,low,low,low,low,43216507.04
402,low,low,low,low,low,2994457.4500000016
403,low,low,low,low,low,29997279.66
404,low,low,low,low,low,43019253.59
405,low,low,low,low,low,19128739.25
406,low,low,low,low,low,19614086.31
407,low,low,low,low,low,18067604.169999998
408,low,low,low,low,low,146057649.4
409,low,low,low,low,low,3027812.2800000003
410,low,low,low,low,low,8464895.470000003
411,low,low,low,low,low,27816330.46
412,low,low,low,low,low,36477277.19
413,low,low,low,low,low,25155636.84
414,low,low,low,low,low,240372650.46
415,low,low,low,low,low,91591094.05
416,low,low,low,low,low,185656702.8
417,low,low,low,low,low,5014591.1499999985
418,low,low,low,low,low,2718927.31
419,low,low,low,low,low,171189069.77
420,low,low,low,low,low,144962978.02
421,low,low,low,low,low,47902133.32
422,low,low,low,low,low,101460145.98
423,low,low,low,low,low,1379065.44
424,low,low,low,low,low,36281234.87
425,low,low,low,low,low,4759907.29
426,low,low,low,low,low,76561531.35
427,low,low,low,low,low,79941967.54
428,low,low,low,low,low,19647614.340000004
429,low,low,low,low,low,108250054.40000002
430,low,low,low,low,low,13832027.89
431,low,low,low,low,low,5744150.38
432,low,low,low,low,low,18222264.319999997
433,low,low,low,low,low,267530711.20999998
434,low,low,low,low,low,47634275.129999995
435,low,low,low,low,low,72736925.36
436,low,low,low,low,low,111325455.47
437,low,low,low,low,low,64230075.650000006
438,low,low,low,low,low,63694941.32
439,low,low,low,low,low,36358083.269999996
440,low,low,low,low,low,80132641.87
441,low,low,low,low,low,41473193.83
442,low,low,low,low,low,52089195.43
443,low,low,low,low,low,32480266.410000004
444,low,low,low,low,low,42186716.370000005
445,low,low,low,low,low,38777153.37000001
446,low,low,low,low,low,100942611.72
447,low,low,low,low,low,8938521.44
448,low,low,low,low,low,31174219.61
449,low,low,low,low,low,6799500.85
450,low,low,low,low,low,78944339.14
451,low,low,low,low,low,2111312.45
452,low,low,low,low,low,13217928.77
453,low,low,low,low,low,-88956947.64
454,low,low,low,low,low,116780841.08000001
455,low,low,low,low,low,29244777.930000003
456,low,low,low,low,low,13843148.59
457,low,low,low,low,low,7267045.07
458,low,low,low,low,low,401146.0
459,low,low,low,low,low,634196.0
460,low,low,low,low,low,48119652.57
461,low,low,low,low,low,11738187.49
462,low,low,low,low,low,2062216.5400000005
463,low,low,low,low,low,54294069.78
464,low,low,low,low,low,7065906.96
465,low,low,low,low,low,2000000.0
466,low,low,low,low,low,16920.0
467,low,low,low,low,low,16349857.689999998
468,low,low,low,low,low,45497300.58999999
469,low,low,low,low,low,60198026.33
470,low,low,low,low,low,130000.0
471,low,low,low,low,low,23270102.75
472,low,low,low,low,low,828937.3500000002
473,low,low,low,low,low,1583560.4
474,low,low,low,low,low,3593412.66
475,low,low,low,low,low,13754409.66
476,low,low,low,low,low,32186097.33
477,low,low,low,low,low,27748142.44
478,low,low,low,low,low,533804878.83
479,low,low,low,low,low,1086146.45
480,low,low,low,low,low,24700.0
481,low,low,low,low,low,44263433.83
482,low,low,low,low,low,262663018.53
483,low,low,low,low,low,1109270.2500000002
484,low,low,low,low,low,46359006.18
485,low,low,low,low,low,48081730.47
486,low,low,low,low,low,5482778.0
487,low,low,low,low,low,29942598.810000002
488,low,low,low,low,low,18532509.23
489,low,low,low,low,low,36463160.410000004
490,low,low,low,low,low,14397750.709999999
491,low,low,low,low,low,178316177.67000002
492,low,low,low,low,low,1297336.4
493,low,low,low,low,low,18252611.02
494,low,low,low,low,low,21929834.25
495,low,low,low,low,low,-7480616.039999999
496,low,low,low,low,low,5821303.12
497,low,low,low,low,low,11288624.45
498,low,low,low,low,low,43949338.99000001
499,low,low,low,low,low,21729341.76
500,low,low,low,low,low,6356125.8
501,low,low,low,low,low,2260851.21
502,low,low,low,low,low,6400102.08
503,low,low,low,low,low,7931865.080000002
504,low,low,low,low,low,17367881.46
505,low,low,low,low,low,2074400.53
506,low,low,low,low,low,361655.0
507,low,low,low,low,low,-9635.160000000003
508,low,low,low,low,low,77168532.11000001
509,low,low,low,low,low,5951223.389999999
510,low,low,low,low,low,7224863.340000002
511,low,low,low,low,low,1686815.7
512,low,low,low,low,low,11046608.21
513,low,low,low,low,low,289132.07
514,low,low,low,low,low,5909857.180000001
515,low,low,low,low,low,24163528.02
516,low,low,low,low,low,14334919.95
517,low,low,low,low,low,10055685.209999999
518,low,low,low,low,low,7779578.319999999
519,low,low,low,low,low,6458742.44
520,low,low,low,low,low,466335.05
521,low,low,low,low,low,66564.15
522,low,low,low,low,low,15635384.57
523,low,low,low,low,low,63851915.51000001
524,low,low,low,low,low,29443373.75
525,low,low,low,low,low,5222097.709999999
526,low,low,low,low,low,694399.51
527,low,low,low,low,low,9121744.75
528,low,low,low,low,low,6093509.2
529,low,low,low,low,low,560838.1799999999
530,low,low,low,low,low,33690056.92999999
531,low,low,low,low,low,4531393.49
532,low,low,low,low,low,45337870.22
533,low,low,low,low,low,49463010.53
534,low,low,low,low,low,385439.22
535,low,low,low,low,low,8313710.19
536,low,low,low,low,low,23933827.15
537,low,low,low,low,low,4903610.1
538,low,low,low,low,low,64966794.41
539,low,low,low,low,low,2966506.8
540,low,low,low,low,low,10650114.5
541,low,low,low,low,low,3289975.18
542,low,low,low,low,low,1662318.66
543,low,low,low,low,low,2361276.0
544,low,low,low,low,low,13292413.08
545,low,low,low,low,low,13416716.949999996
546,low,low,low,low,low,8826247.72
547,low,low,low,low,low,3184061.25
548,low,low,low,low,low,4266451.67
549,low,low,low,low,low,7058259.800000002
550,low,low,low,low,low,11474265.0
551,low,low,low,low,low,118348641.77
552,low,low,low,low,low,6111846.9
553,low,low,low,low,low,30442661.04
554,low,low,low,low,low,6249963.0
555,low,low,low,low,low,498968.72
556,low,low,low,low,low,339964.24
557,low,low,low,low,low,4098403.29
558,low,low,low,low,low,3455514.9899999998
559,low,low,low,low,low,4495371.15
560,low,low,low,low,low,20139019.05
561,low,low,low,low,low,11514462.94
562,low,low,low,low,low,5075618.34
563,low,low,low,low,low,37592735.48
564,low,low,low,low,low,15119536.5
565,low,low,low,low,low,-17888509.66
566,low,low,low,low,low,250470.09000000003
567,low,low,low,low,low,19884.579999999994
568,low,low,low,low,low,46095.85
569,low,low,low,low,low,14913.79999999993
570,low,low,low,low,low,4244918.4799999995
571,low,low,low,low,low,3170229.3200000008
572,low,low,low,low,low,1406428.3299999998
573,low,low,low,low,low,413678.95
574,low,low,low,low,low,45211531.0
575,low,low,low,low,low,2815762.9
576,low,low,low,low,low,15000004.72
577,low,low,low,low,low,640959.5800000001
578,low,low,low,low,low,9131824.45
579,low,low,low,low,low,71544877.65
580,low,low,low,low,low,27793.92
581,low,low,low,low,low,3889706.43
582,low,low,low,low,low,60691159.120000005
583,low,low,low,low,low,110873609.59
584,low,low,low,low,low,6385379.349999999
585,low,low,low,low,low,17335928.740000002
586,low,low,low,low,low,12858465.45
587,low,low,low,low,low,239632.48
588,low,low,low,low,low,501235.58999999997
589,low,low,low,low,low,5232275.96
590,low,low,low,low,low,2417526.58
591,low,low,low,low,low,4832598.79
592,low,low,low,low,low,5727469.1499999985
593,low,low,low,low,low,-75460379.8
594,low,low,low,low,low,204579.5
595,low,low,low,low,low,1600.0
596,low,low,low,low,low,288039177.15
597,low,low,low,low,low,7505864.6899999995
598,low,low,low,low,low,6495302.78
599,low,low,low,low,low,6846810.83
600,low,low,low,low,low,165628850.95
601,low,low,low,low,low,339058.52
602,low,low,low,low,low,27651589.71
603,low,low,low,low,low,1158723.65
604,low,low,low,low,low,13233511.700000001
605,low,low,low,low,low,38890388.88
606,low,low,low,low,low,646240.2799999999
607,low,low,low,low,low,-812893.82
608,low,low,low,low,low,23635.81
609,low,low,low,low,low,192454.33000000002
610,low,low,low,low,low,61840.26000000001
611,low,low,low,low,low,9444926.700000001
612,low,low,low,low,low,973811.63
613,low,low,low,low,low,4824117.85
614,low,low,low,low,low,3354771.04
615,low,low,low,low,low,2775.0
616,low,low,low,low,low,-54733.670000000006
617,low,low,low,low,low,7686737.299999998
618,low,low,low,low,low,1613829.72
619,low,low,low,low,low,683401.54
620,low,low,low,low,low,6218727.769999999
621,low,low,low,low,low,150630.0
622,low,low,low,low,low,101234.33
623,low,low,low,low,low,2182380.99
624,low,low,low,low,low,20470457.98
625,low,low,low,low,low,867767.1699999999
626,low,low,low,low,low,463596.06
627,low,low,low,low,low,8374954.6
628,low,low,low,low,low,10760349.32
629,low,low,low,low,low,104936.46
630,low,low,low,low,low,163060.83999999985
631,low,low,low,low,low,7549390.04
632,low,low,low,low,low,11884026.08
633,low,low,low,low,low,-26223741.74
634,low,low,low,low,low,5615394.290000001
635,low,low,low,low,low,113579.32
636,low,low,low,low,low,2856788.08
637,low,low,low,low,low,1400905.43
638,low,low,low,low,low,820935.37
639,low,low,low,low,low,912021.7100000002
640,low,low,low,low,low,9859048.64
641,low,low,low,low,low,1187847.7700000003
642,low,low,low,low,low,40255156.21
643,low,low,low,low,low,-158999.14
644,low,low,low,low,low,9734514.42
645,low,low,low,low,low,4052973.6999999997
646,low,low,low,low,low,1186637.02
647,low,low,low,low,low,1470159.74
648,low,low,low,low,low,9300358.700000001
649,low,low,low,low,low,9750000.0
650,low,low,low,low,low,213830.0
651,low,low,low,low,low,1294908.53
652,low,low,low,low,low,703802.9400000001
653,low,low,low,low,low,17783420.3
654,low,low,low,low,low,6122721.500000001
655,low,low,low,low,low,111165.46
656,low,low,low,low,low,0.0
657,low,low,low,low,low,37841335.75
658,low,low,low,low,low,32154559.68
659,low,low,low,low,low,17746533.72
660,low,low,low,low,low,12053833.04
661,low,low,low,low,low,-20632244.09
662,low,low,low,low,low,38647.6
663,low,low,low,low,low,0.0
664,low,low,low,low,low,2204928.4299999997
665,low,low,low,low,low,3605033.29
666,low,low,low,low,low,6489596.43
667,low,low,low,low,low,3705105.19
668,low,low,low,low,low,7207030.369999998
669,low,low,low,low,low,9842651.2
670,low,low,low,low,low,0.0
671,low,low,low,low,low,3169248.16
672,low,low,low,low,low,1928344.98
673,low,low,low,low,low,319178.0
674,low,low,low,low,low,1162777.6400000001
675,low,low,low,low,low,-11999025.580000002
676,low,low,low,low,low,0.0
677,low,low,low,low,low,0.0
678,low,low,low,low,low,8033634.0
679,low,low,low,low,low,16279436.540000001
680,low,low,low,low,low,2940234.2199999997
681,low,low,low,low,low,2934624.87
682,low,low,low,low,low,15626577.93
683,low,low,low,low,low,36285400.2
684,low,low,low,low,low,57106.8
685,low,low,low,low,low,8042315.44
686,low,low,low,low,low,543411.86
687,low,low,low,low,low,10693.47
688,low,low,low,low,low,120070.37
689,low,low,low,low,low,215671.64
690,low,low,low,low,low,0.0
691,low,low,low,low,low,0.0
692,low,low,low,low,low,57144.6
693,low,low,low,low,low,27856.18
694,low,low,low,low,low,1091133.86
695,low,low,low,low,low,548407.5700000001
696,low,low,low,low,low,2015615.45
697,low,low,low,low,low,0.0
698,low,low,low,low,low,0.0
699,low,low,low,low,low,1778634.85
700,low,low,low,low,low,55561.07000000001
701,low,low,low,low,low,1247234.93
702,low,low,low,low,low,28171.68
703,low,low,low,low,low,124239.24
704,low,low,low,low,low,-6055.95
705,low,low,low,low,low,-102790.68
706,low,low,low,low,low,516168.29
707,low,low,low,low,low,417387.65
708,low,low,low,low,low,40312.01
709,low,low,low,low,low,1753191.7899999996
710,low,low,low,low,low,45192.5
711,low,low,low,low,low,0.0
712,low,low,low,low,low,0.0
713,low,low,low,low,low,706180.18
714,low,low,low,low,low,32416.51999999997
715,low,low,low,low,low,453109.12000000005
716,low,low,low,low,low,-57503.0
717,low,low,low,low,low,-1941827.07
718,low,low,low,low,low,2373106.0
719,low,low,low,low,low,5518.0
720,low,low,low,low,low,28006050.13
721,low,low,low,low,low,559736.3099999999
722,low,low,low,low,low,1955541.75
723,low,low,low,low,low,205270.0
724,low,low,low,low,low,273645.17000000004
725,low,low,low,medium,low,167820.88
726,low,low,low,low,low,0.0
727,low,low,low,low,low,856691.74
728,low,low,low,low,low,1271781.52
729,low,low,low,medium,low,1512870.74
730,low,low,low,low,low,4702156.32
731,low,low,low,low,low,290876.0
732,low,low,low,low,low,0.0
733,low,low,low,low,low,0.0
734,low,low,low,low,low,608724.55
735,low,low,low,low,low,327100.66000000003
736,low,low,low,low,low,3401085.66
737,low,low,low,low,low,3827201.81
738,low,low,low,low,low,208981.99
739,low,low,low,low,low,6120850.41
740,low,low,low,low,low,0.0
741,low,low,low,low,low,3489836.93
742,low,low,low,medium,low,1298686.69
743,low,low,low,low,low,125352.57
744,low,low,low,low,low,88312.79000000002
745,low,low,low,low,low,22149.23
746,low,low,low,low,low,-803658.89
747,low,low,low,low,low,0.0
748,low,low,low,low,low,7554.68
749,low,low,low,low,low,511110.76
750,low,low,low,low,low,905952.21
751,low,low,low,low,low,3417754.4400000004
752,low,low,low,low,low,635086.5099999999
753,low,low,low,low,low,124534.52
754,low,low,low,low,low,0.0
755,low,low,low,low,low,-1334498.15
756,low,low,low,low,low,251750.31
757,low,low,low,high,high,206019.21
758,low,low,low,high,high,7351533.02
759,low,low,low,high,high,4416712.76
760,low,low,low,low,low,0.0
761,low,low,low,low,low,150920.0
762,low,low,low,low,low,300014.04000000004
763,low,low,low,low,low,188896.15
764,low,low,low,low,low,289910.77
765,low,low,low,low,low,314206.59
766,low,low,low,low,low,1209837.84
767,low,low,low,low,low,5105520.63
768,low,low,low,low,low,225.0
769,low,low,low,low,low,305079.07
770,low,low,low,low,low,600085.99
771,low,low,low,low,low,3747480.8
772,low,low,low,low,low,0.0
773,low,low,low,low,low,0.0
774,low,low,low,low,low,0.0
775,low,low,low,low,low,0.0
776,low,low,low,low,low,0.0
777,low,low,low,low,low,0.0
778,low,low,low,low,low,0.0
779,low,low,low,low,low,0.0
780,low,low,low,low,low,0.0
