date,number of titles for irma,number of titles for harvey,number of titles for maria,number of titles for irene,number of summaries for irma,number of summaries for harvey,number of summaries for maria,number of summaries for irene
2011-11-17,0,0,0,0,0,0,0,2
2011-11-01,0,0,0,0,0,0,0,2
2018-08-30,0,0,0,0,0,3,0,0
2018-06-12,0,0,0,0,0,0,0,0
2018-07-08,0,0,0,0,2,5,0,0
2018-10-02,0,0,0,0,0,4,0,0
2018-10-18,0,0,0,0,0,0,0,0
2018-08-19,0,0,0,0,0,0,12,0
2018-08-04,0,0,0,0,0,0,1,0
2011-06-21,0,0,0,0,0,0,0,1
2018-07-04,0,0,3,0,7,6,10,0
2018-06-08,0,0,0,0,0,0,16,0
2018-09-15,0,0,0,0,0,4,14,0
2011-10-01,0,0,0,0,0,0,0,0
2018-08-22,0,0,0,0,0,3,9,0
2018-10-04,0,0,0,0,10,0,0,0
2011-10-28,0,0,0,0,0,0,0,0
2018-09-09,0,0,0,0,0,0,4,0
2011-12-27,0,0,0,0,0,0,0,2
2018-08-20,0,0,0,0,0,14,0,0
2018-07-19,0,0,3,0,7,6,12,0
2018-07-06,0,0,0,0,2,0,1,0
2011-12-11,0,0,0,0,0,2,0,0
2011-12-04,0,0,0,0,0,0,0,0
2011-06-11,0,0,0,0,0,1,1,1
2018-08-21,0,0,0,0,0,9,0,0
2011-08-31,0,0,0,4,0,0,0,2
2011-11-26,0,0,0,0,0,0,0,0
2018-06-26,0,0,4,0,0,3,8,0
2011-09-19,0,0,0,0,0,0,0,2
2018-10-22,0,0,0,0,0,0,0,0
2011-09-27,0,0,0,0,0,0,0,2
2011-11-29,0,0,0,0,0,0,0,2
2018-07-25,0,0,0,0,4,0,3,0
2011-12-18,0,0,0,0,0,0,0,4
2011-10-26,0,0,0,0,0,0,0,0
2011-08-25,0,0,0,4,0,0,0,4
2018-08-29,0,0,0,0,0,0,4,0
2011-10-15,0,0,0,0,0,0,0,0
2018-09-08,0,0,0,0,0,0,4,0
2011-07-01,0,0,0,0,0,0,0,1
2011-10-16,0,0,0,0,1,0,0,0
2011-06-09,0,0,0,0,0,0,0,0
2018-08-01,0,0,0,0,0,3,3,0
2018-09-18,0,0,0,0,0,0,0,0
2011-09-06,0,0,0,2,0,0,0,4
2011-10-29,0,0,0,1,0,0,0,1
2011-06-13,0,0,0,0,0,0,0,0
2018-06-28,0,0,0,0,0,6,0,0
2018-08-28,0,0,0,0,0,0,0,0
2011-11-12,0,0,0,0,0,0,0,2
2018-09-16,0,0,0,0,0,4,20,0
2011-12-29,0,0,0,0,0,0,0,0
2018-07-14,0,0,0,0,0,0,3,0
2018-07-26,0,0,6,0,0,7,9,0
2018-09-21,0,0,0,0,0,0,6,0
2018-10-06,0,0,0,0,0,4,0,0
2018-07-02,0,3,0,0,0,9,3,0
2018-10-24,0,0,0,0,0,18,12,0
2011-09-14,0,0,0,0,0,0,0,0
2011-12-10,0,0,0,0,0,0,0,0
2018-08-12,0,0,0,0,0,3,0,0
2018-06-11,0,0,0,0,0,3,4,0
2011-10-13,0,0,0,0,0,0,0,2
2018-06-24,0,0,0,0,0,0,0,0
2018-10-12,0,0,0,0,0,0,20,0
2018-10-28,0,4,0,0,0,8,0,0
2018-07-22,0,0,3,0,3,3,6,0
2018-06-25,0,0,0,0,0,0,0,0
2018-08-09,0,0,14,0,8,3,31,0
2018-08-15,0,0,0,0,0,3,0,0
2011-10-25,0,0,0,0,0,0,0,0
2011-10-31,0,0,0,0,0,0,0,1
2011-11-20,0,0,0,0,0,0,0,0
2018-09-07,0,0,0,0,0,4,0,0
2018-09-02,0,0,0,0,0,4,0,0
2011-06-18,0,0,0,0,0,0,0,0
2011-06-26,0,0,0,0,0,0,0,1
2018-07-01,0,0,0,0,0,0,6,0
2011-06-10,0,0,0,0,0,0,0,0
2011-06-15,0,0,0,0,1,0,0,0
2018-09-26,0,0,0,0,2,0,0,0
2011-09-22,0,0,0,0,0,0,0,2
2018-09-25,0,4,0,0,0,14,0,0
2018-07-30,0,0,0,0,0,3,0,0
2018-06-01,0,6,0,0,0,12,4,0
2011-06-06,0,0,0,0,1,0,0,0
2018-06-03,0,0,4,0,0,0,16,0
2011-09-17,0,0,0,0,0,0,0,0
2011-08-30,0,0,0,6,0,2,2,10
2018-07-16,0,0,0,0,0,0,6,0
2011-06-28,0,0,0,0,0,0,0,0
2018-06-02,0,0,0,0,0,14,0,0
2018-09-27,0,0,0,0,0,0,0,0
2011-11-30,0,0,0,0,0,0,0,0
2011-07-13,0,0,0,0,0,0,0,1
2011-07-05,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0
2011-09-12,0,0,0,0,0,0,0,2
2011-06-22,0,0,0,0,0,0,0,0
2011-08-05,0,0,0,0,0,0,0,0
2011-11-16,0,0,0,0,0,0,0,2
2011-07-26,0,0,0,0,0,0,0,2
2018-10-29,0,0,0,0,10,0,0,0
2018-08-08,0,0,7,0,0,0,31,0
2018-07-15,0,0,0,0,0,0,3,0
2011-07-27,0,0,0,0,0,0,0,0
2011-09-09,0,0,0,0,0,0,0,4
2018-07-24,0,0,0,0,0,0,3,0
2011-07-02,0,0,0,0,0,0,0,1
2018-08-31,0,0,0,0,0,6,0,0
